"","Channel A Ave. (C)","Channel B Ave. (C)"
"00:00:00","19.347","24.824"
"00:00:01","19.351","24.824"
"00:00:02","19.349","24.824"
"00:00:03","19.350","24.824"
"00:00:04","19.349","24.824"
"00:00:05","19.348","24.825"
"00:00:06","19.347","24.825"
"00:00:07","19.351","24.824"
"00:00:08","19.347","24.824"
"00:00:09","19.352","24.824"
"00:00:10","19.353","24.824"
"00:00:11","19.348","24.825"
"00:00:12","19.350","24.824"
"00:00:13","19.347","24.824"
"00:00:14","19.347","24.824"
"00:00:15","19.412","24.824"
"00:00:16","19.403","24.824"
"00:00:17","19.407","24.825"
"00:00:18","19.408","24.824"
"00:00:19","19.406","24.825"
"00:00:20","19.402","24.824"
"00:00:21","19.409","24.824"
"00:00:22","19.404","24.824"
"00:00:23","19.407","24.825"
"00:00:24","19.411","24.824"
"00:00:25","19.403","24.825"
"00:00:26","19.411","24.824"
"00:00:27","19.403","24.824"
"00:00:28","19.392","24.824"
"00:00:29","19.397","24.824"
"00:00:30","19.403","24.824"
"00:00:31","19.405","24.849"
"00:00:32","19.406","24.824"
"00:00:33","19.403","24.828"
"00:00:34","19.405","24.828"
"00:00:35","19.402","24.829"
"00:00:36","19.401","24.827"
"00:00:37","19.402","24.830"
"00:00:38","19.405","24.829"
"00:00:39","19.404","24.829"
"00:00:40","19.414","24.830"
"00:00:41","19.413","24.829"
"00:00:42","19.571","24.829"
"00:00:43","19.657","24.830"
"00:00:44","19.848","24.830"
"00:00:45","19.970","24.827"
"00:00:46","20.119","24.828"
"00:00:47","20.304","24.829"
"00:00:48","20.398","24.828"
"00:00:49","20.612","24.828"
"00:00:50","20.714","24.828"
"00:00:51","20.891","24.828"
"00:00:52","21.058","24.828"
"00:00:53","21.177","24.831"
"00:00:54","21.383","24.828"
"00:00:55","21.513","24.828"
"00:00:56","21.668","24.828"
"00:00:57","21.843","24.829"
"00:00:58","21.953","24.829"
"00:00:59","22.165","24.830"
"00:01:00","22.285","24.829"
"00:01:01","22.440","24.937"
"00:01:02","22.623","25.044"
"00:01:03","22.726","25.174"
"00:01:04","22.929","25.304"
"00:01:05","23.035","25.404"
"00:01:06","23.211","25.529"
"00:01:07","23.379","25.676"
"00:01:08","23.494","25.790"
"00:01:09","23.706","25.908"
"00:01:10","23.806","26.044"
"00:01:11","23.988","26.186"
"00:01:12","24.144","26.295"
"00:01:13","24.255","26.407"
"00:01:14","24.459","26.559"
"00:01:15","24.551","26.690"
"00:01:16","24.751","26.802"
"00:01:17","24.847","26.924"
"00:01:18","25.021","27.073"
"00:01:19","25.163","27.194"
"00:01:20","25.289","27.307"
"00:01:21","25.467","27.439"
"00:01:22","25.558","27.587"
"00:01:23","25.713","27.631"
"00:01:24","25.839","27.813"
"00:01:25","26.043","27.955"
"00:01:26","26.131","28.090"
"00:01:27","26.309","28.205"
"00:01:28","26.417","28.323"
"00:01:29","26.572","28.472"
"00:01:30","26.713","28.595"
"00:01:31","26.840","28.709"
"00:01:32","27.027","28.843"
"00:01:33","27.123","28.989"
"00:01:34","27.327","29.103"
"00:01:35","27.441","29.220"
"00:01:36","27.609","29.357"
"00:01:37","27.773","29.498"
"00:01:38","27.883","29.606"
"00:01:39","28.094","29.725"
"00:01:40","28.189","29.868"
"00:01:41","28.378","29.995"
"00:01:42","28.517","30.099"
"00:01:43","28.646","30.229"
"00:01:44","28.838","30.374"
"00:01:45","28.934","30.478"
"00:01:46","29.145","30.599"
"00:01:47","29.265","30.744"
"00:01:48","29.422","30.877"
"00:01:49","29.603","30.986"
"00:01:50","29.702","31.103"
"00:01:51","29.909","31.254"
"00:01:52","30.017","31.369"
"00:01:53","30.189","31.477"
"00:01:54","30.300","31.614"
"00:01:55","30.453","31.747"
"00:01:56","30.604","31.849"
"00:01:57","30.712","31.977"
"00:01:58","30.869","32.118"
"00:01:59","30.971","32.217"
"00:02:00","31.141","32.331"
"00:02:01","31.231","32.477"
"00:02:02","31.417","32.591"
"00:02:03","31.494","32.691"
"00:02:04","31.680","32.834"
"00:02:05","31.750","32.946"
"00:02:06","31.930","33.049"
"00:02:07","32.010","33.180"
"00:02:08","32.170","33.283"
"00:02:09","32.265","33.387"
"00:02:10","32.420","33.528"
"00:02:11","32.523","33.643"
"00:02:12","32.654","33.732"
"00:02:13","32.776","33.879"
"00:02:14","32.887","33.978"
"00:02:15","33.031","34.074"
"00:02:16","33.101","34.224"
"00:02:17","33.195","34.328"
"00:02:18","33.215","34.432"
"00:02:19","33.307","34.574"
"00:02:20","33.336","34.692"
"00:02:21","33.394","34.764"
"00:02:22","33.467","34.864"
"00:02:23","33.495","34.951"
"00:02:24","33.589","35.005"
"00:02:25","33.610","35.110"
"00:02:26","33.693","35.169"
"00:02:27","33.740","35.250"
"00:02:28","33.795","35.351"
"00:02:29","33.871","35.418"
"00:02:30","33.900","35.496"
"00:02:31","33.994","35.584"
"00:02:32","34.014","35.641"
"00:02:33","34.096","35.740"
"00:02:34","34.141","35.807"
"00:02:35","34.173","35.876"
"00:02:36","34.258","35.977"
"00:02:37","34.280","36.026"
"00:02:38","34.352","36.121"
"00:02:39","34.409","36.189"
"00:02:40","34.431","36.253"
"00:02:41","34.531","36.352"
"00:02:42","34.548","36.391"
"00:02:43","34.616","36.492"
"00:02:44","34.675","36.542"
"00:02:45","34.690","36.626"
"00:02:46","34.772","36.696"
"00:02:47","34.814","36.752"
"00:02:48","34.834","36.830"
"00:02:49","34.925","36.880"
"00:02:50","34.950","36.978"
"00:02:51","34.999","37.017"
"00:02:52","35.076","37.117"
"00:02:53","35.090","37.165"
"00:02:54","35.162","37.264"
"00:02:55","35.217","37.336"
"00:02:56","35.238","37.427"
"00:02:57","35.332","37.485"
"00:02:58","35.354","37.584"
"00:02:59","35.395","37.602"
"00:03:00","35.474","37.692"
"00:03:01","35.487","37.749"
"00:03:02","35.519","37.752"
"00:03:03","35.584","37.763"
"00:03:04","35.622","37.830"
"00:03:05","35.645","37.872"
"00:03:06","35.724","37.894"
"00:03:07","35.756","37.902"
"00:03:08","35.781","37.904"
"00:03:09","35.865","37.906"
"00:03:10","35.890","37.901"
"00:03:11","35.921","37.895"
"00:03:12","36.007","37.878"
"00:03:13","36.027","37.852"
"00:03:14","36.075","37.813"
"00:03:15","36.156","37.785"
"00:03:16","36.170","37.765"
"00:03:17","36.294","37.754"
"00:03:18","36.347","37.751"
"00:03:19","36.441","37.751"
"00:03:20","36.553","37.746"
"00:03:21","36.589","37.718"
"00:03:22","36.725","37.660"
"00:03:23","36.765","37.613"
"00:03:24","36.795","37.592"
"00:03:25","36.906","37.590"
"00:03:26","36.971","37.577"
"00:03:27","36.983","37.534"
"00:03:28","37.068","37.463"
"00:03:29","37.176","37.435"
"00:03:30","37.185","37.429"
"00:03:31","37.215","37.422"
"00:03:32","37.319","37.384"
"00:03:33","37.390","37.311"
"00:03:34","37.407","37.274"
"00:03:35","37.500","37.269"
"00:03:36","37.593","37.265"
"00:03:37","37.606","37.236"
"00:03:38","37.667","37.179"
"00:03:39","37.792","37.141"
"00:03:40","37.816","37.130"
"00:03:41","37.850","37.128"
"00:03:42","37.961","37.127"
"00:03:43","38.020","37.120"
